"","ASV","s.human-C","s.human-RS","s.mouse-C","s.mouse-RS","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"1","0f57ea7da60037232eadd51a4fc0cbf4",0,0,1,1,10,0.868078229550014,0.005,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA
"2","bf41c50b5e2bcae3a0d0ffcc45d4902d",0,0,1,1,10,0.810765719922648,0.005,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila",NA
"3","d976bbe6c2b1e7ac5e0603396cf59075",0,0,1,1,10,0.956468886164198,0.005,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"4","9480753dc86a1a1f99d32d989d688055",0,0,1,1,10,0.991317201310153,0.005,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA
"5","d673ca77e26491596a44e0a5ba09ff2a",1,0,1,1,13,0.90083413268896,0.005,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"6","72dc1adab07467a53976a4f507a53978",0,0,1,1,10,0.999624213829506,0.005,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
"7","f35caa5d7360c6077c0fe12e91913c76",0,0,1,1,10,0.835085876453812,0.005,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum",NA
"8","e3ae16afa7d716e4714d93d286bb7584",0,0,1,1,10,0.802955068546966,0.005,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Holdemania",NA
"9","d357ec443935153a5bb8d9cd3077a368",0,0,1,1,10,0.923448504576985,0.005,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium",NA
"10","40df41f013abab8d31cec795ff34044e",1,1,1,0,11,0.881043234763272,0.005,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"11","0783d66f8fe6155e7058732df98d2008",1,1,0,0,5,0.873333764609373,0.005,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA
"12","b0fbd9086d8c1c1b21b78d41303da44f",1,1,0,0,5,0.982904723213422,0.005,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA
"13","53abfadaed5b45b5cc2f29b2207e4ac7",1,1,0,0,5,0.965506804652618,0.005,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum",NA
"14","788731bdc4fca02c701d7bc242c6cefe",1,1,0,0,5,0.813609548455219,0.005,"Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium]_coprostanoligenes_group","[Eubacterium]_coprostanoligenes_group",NA
"15","7eccce4ad608f154e5d5a9a930de899c",1,1,0,0,5,0.894719419220358,0.005,"Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus",NA
"16","f9ed2931aedae92234675c3249be34e6",1,1,0,0,5,0.813029488488912,0.005,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002",NA
"17","3138768d68ced97161ebd9b60b50abae",1,1,0,0,5,0.968798611076671,0.005,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Dorea",NA
"18","2bd24a84d97ffe237d5a074f8e0dde01",1,1,1,0,11,0.975414667452256,0.005,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",NA
"19","867686eaf25a8d1745e258548dc9b760",1,1,0,0,5,0.964640620010135,0.005,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter",NA
"20","0c6dec3c7f3597678b9fabb414bb7b1f",1,1,1,0,11,0.872093972806393,0.005,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes",NA
"21","4fe89b9192ec5dc1927d62c9c8b4f867",1,1,0,0,5,0.956689206214921,0.005,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter",NA
"22","3083903e89d0a9005d905467141925cf",1,1,0,0,5,0.802538345881472,0.005,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_ND3007_group",NA
"23","9764e3549381b329149441ddcf55e8cc",0,0,1,1,10,0.802955068546966,0.005,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_FCS020_group",NA
