sample_id	Treatment	sample_type	strain	trt
WDM6x8wk	CTL	Mouse feces	C57B65J	C
WDM5x8wk	CTL	Mouse feces	C57B64J	C
WDM4x8wk	CTL	Mouse feces	C57B63J	C
WDM3x8wk	CTL	Mouse feces	C57B62J	C
WDM2x8wk	CTL	Mouse feces	C57B61J	C
WDM1x8wk	CTL	Mouse feces	C57B60J	C
WDF8x8wk	CTL	Mouse feces	C57B59J	C
WDF7x8wk	CTL	Mouse feces	C57B58J	C
WDF6x8wk	CTL	Mouse feces	C57B57J	C
WDF5x8wk	CTL	Mouse feces	C57B56J	C
WDF4x8wk	CTL	Mouse feces	C57B55J	C
WDF3x8wk	CTL	Mouse feces	C57B54J	C
WDF2x8wk	CTL	Mouse feces	C57B53J	C
WDF1x8wk	CTL	Mouse feces	C57B52J	C
RS4M8x8wk	CKP	Mouse feces	C57B51J	RS
RS4M7x8wk	CKP	Mouse feces	C57B50J	RS
RS4M6x8wk	CKP	Mouse feces	C57B49J	RS
RS4M5x8wk	CKP	Mouse feces	C57B48J	RS
RS4M4x8wk	CKP	Mouse feces	C57B47J	RS
RS4M3x8wk	CKP	Mouse feces	C57B46J	RS
RS4M2x8wk	CKP	Mouse feces	C57B45J	RS
RS4M1x8wk	CKP	Mouse feces	C57B44J	RS
RS4F7x8wk	CKP	Mouse feces	C57B43J	RS
RS4F6x8wk	CKP	Mouse feces	C57B42J	RS
RS4F5x8wk	CKP	Mouse feces	C57B41J	RS
RS4F4x8wk	CKP	Mouse feces	C57B40J	RS
RS4F3x8wk	CKP	Mouse feces	C57B39J	RS
RS4F2x8wk	CKP	Mouse feces	C57B38J	RS
RS4F1x8wk	CKP	Mouse feces	C57B37J	RS
RS3M8x8wk	LEN	Mouse feces	C57B36J	RS
RS3M7x8wk	LEN	Mouse feces	C57B35J	RS
RS3M6x8wk	LEN	Mouse feces	C57B34J	RS
RS3M5x8wk	LEN	Mouse feces	C57B33J	RS
RS3M4x8wk	LEN	Mouse feces	C57B32J	RS
RS3M3x8wk	LEN	Mouse feces	C57B31J	RS
RS3M2x8wk	LEN	Mouse feces	C57B30J	RS
RS3M1x8wk	LEN	Mouse feces	C57B29J	RS
RS3F8x8wk	LEN	Mouse feces	C57B28J	RS
RS3F7x8wk	LEN	Mouse feces	C57B27J	RS
RS3F6x8wk	LEN	Mouse feces	C57B26J	RS
RS3F5x8wk	LEN	Mouse feces	C57B25J	RS
RS3F4x8wk	LEN	Mouse feces	C57B24J	RS
RS3F3x8wk	LEN	Mouse feces	C57B23J	RS
RS3F2x8wk	LEN	Mouse feces	C57B22J	RS
RS3F1x8wk	LEN	Mouse feces	C57B21J	RS
RS2M8x8wk	BEP	Mouse feces	C57B20J	RS
RS2M7x8wk	BEP	Mouse feces	C57B19J	RS
RS2M6x8wk	BEP	Mouse feces	C57B18J	RS
RS2M5x8wk	BEP	Mouse feces	C57B17J	RS
RS2M4x8wk	BEP	Mouse feces	C57B16J	RS
RS2M3x8wk	BEP	Mouse feces	C57B15J	RS
RS2M2x8wk	BEP	Mouse feces	C57B14J	RS
RS2M1x8wk	BEP	Mouse feces	C57B13J	RS
RS2F8x8wk	BEP	Mouse feces	C57B12J	RS
RS2F7x8wk	BEP	Mouse feces	C57B11J	RS
RS2F6x8wk	BEP	Mouse feces	C57B10J	RS
RS2F5x8wk	BEP	Mouse feces	C57B9J	RS
RS2F4x8wk	BEP	Mouse feces	C57B8J	RS
RS2F3x8wk	BEP	Mouse feces	C57B7J	RS
RS2F2x8wk	BEP	Mouse feces	C57B6J	RS
RS2F1x8wk	BEP	Mouse feces	C57B6J	RS
RS1M8x8wk	PTB	Mouse feces	C57B6J	RS
RS1M7x8wk	PTB	Mouse feces	C57B6J	RS
RS1M6x8wk	PTB	Mouse feces	C57B6J	RS
RS1M5x8wk	PTB	Mouse feces	C57B6J	RS
RS1M4x8wk	PTB	Mouse feces	C57B6J	RS
RS1M3x8wk	PTB	Mouse feces	C57B6J	RS
RS1M2x8wk	PTB	Mouse feces	C57B6J	RS
RS1M1x8wk	PTB	Mouse feces	C57B6J	RS
RS1F8x8wk	PTB	Mouse feces	C57B6J	RS
RS1F7x8wk	PTB	Mouse feces	C57B6J	RS
RS1F6x8wk	PTB	Mouse feces	C57B6J	RS
RS1F5x8wk	PTB	Mouse feces	C57B6J	RS
RS1F4x8wk	PTB	Mouse feces	C57B6J	RS
RS1F3x8wk	PTB	Mouse feces	C57B6J	RS
RS1F2x8wk	PTB	Mouse feces	C57B6J	RS
RS1F1x8wk	PTB	Mouse feces	C57B6J	RS
