sample-id	Treatment	sample_type	strain
WDM6x8wk	CTL	Mouse feces	C57B65J
WDM5x8wk	CTL	Mouse feces	C57B64J
WDM4x8wk	CTL	Mouse feces	C57B63J
WDM3x8wk	CTL	Mouse feces	C57B62J
WDM2x8wk	CTL	Mouse feces	C57B61J
WDM1x8wk	CTL	Mouse feces	C57B60J
WDF8x8wk	CTL	Mouse feces	C57B59J
WDF7x8wk	CTL	Mouse feces	C57B58J
WDF6x8wk	CTL	Mouse feces	C57B57J
WDF5x8wk	CTL	Mouse feces	C57B56J
WDF4x8wk	CTL	Mouse feces	C57B55J
WDF3x8wk	CTL	Mouse feces	C57B54J
WDF2x8wk	CTL	Mouse feces	C57B53J
WDF1x8wk	CTL	Mouse feces	C57B52J
RS4M8x8wk	CKP	Mouse feces	C57B51J
RS4M7x8wk	CKP	Mouse feces	C57B50J
RS4M6x8wk	CKP	Mouse feces	C57B49J
RS4M5x8wk	CKP	Mouse feces	C57B48J
RS4M4x8wk	CKP	Mouse feces	C57B47J
RS4M3x8wk	CKP	Mouse feces	C57B46J
RS4M2x8wk	CKP	Mouse feces	C57B45J
RS4M1x8wk	CKP	Mouse feces	C57B44J
RS4F7x8wk	CKP	Mouse feces	C57B43J
RS4F6x8wk	CKP	Mouse feces	C57B42J
RS4F5x8wk	CKP	Mouse feces	C57B41J
RS4F4x8wk	CKP	Mouse feces	C57B40J
RS4F3x8wk	CKP	Mouse feces	C57B39J
RS4F2x8wk	CKP	Mouse feces	C57B38J
RS4F1x8wk	CKP	Mouse feces	C57B37J
RS3M8x8wk	LEN	Mouse feces	C57B36J
RS3M7x8wk	LEN	Mouse feces	C57B35J
RS3M6x8wk	LEN	Mouse feces	C57B34J
RS3M5x8wk	LEN	Mouse feces	C57B33J
RS3M4x8wk	LEN	Mouse feces	C57B32J
RS3M3x8wk	LEN	Mouse feces	C57B31J
RS3M2x8wk	LEN	Mouse feces	C57B30J
RS3M1x8wk	LEN	Mouse feces	C57B29J
RS3F8x8wk	LEN	Mouse feces	C57B28J
RS3F7x8wk	LEN	Mouse feces	C57B27J
RS3F6x8wk	LEN	Mouse feces	C57B26J
RS3F5x8wk	LEN	Mouse feces	C57B25J
RS3F4x8wk	LEN	Mouse feces	C57B24J
RS3F3x8wk	LEN	Mouse feces	C57B23J
RS3F2x8wk	LEN	Mouse feces	C57B22J
RS3F1x8wk	LEN	Mouse feces	C57B21J
RS2M8x8wk	BEP	Mouse feces	C57B20J
RS2M7x8wk	BEP	Mouse feces	C57B19J
RS2M6x8wk	BEP	Mouse feces	C57B18J
RS2M5x8wk	BEP	Mouse feces	C57B17J
RS2M4x8wk	BEP	Mouse feces	C57B16J
RS2M3x8wk	BEP	Mouse feces	C57B15J
RS2M2x8wk	BEP	Mouse feces	C57B14J
RS2M1x8wk	BEP	Mouse feces	C57B13J
RS2F8x8wk	BEP	Mouse feces	C57B12J
RS2F7x8wk	BEP	Mouse feces	C57B11J
RS2F6x8wk	BEP	Mouse feces	C57B10J
RS2F5x8wk	BEP	Mouse feces	C57B9J
RS2F4x8wk	BEP	Mouse feces	C57B8J
RS2F3x8wk	BEP	Mouse feces	C57B7J
RS2F2x8wk	BEP	Mouse feces	C57B6J
RS2F1x8wk	BEP	Mouse feces	C57B6J
RS1M8x8wk	PTB	Mouse feces	C57B6J
RS1M7x8wk	PTB	Mouse feces	C57B6J
RS1M6x8wk	PTB	Mouse feces	C57B6J
RS1M5x8wk	PTB	Mouse feces	C57B6J
RS1M4x8wk	PTB	Mouse feces	C57B6J
RS1M3x8wk	PTB	Mouse feces	C57B6J
RS1M2x8wk	PTB	Mouse feces	C57B6J
RS1M1x8wk	PTB	Mouse feces	C57B6J
RS1F8x8wk	PTB	Mouse feces	C57B6J
RS1F7x8wk	PTB	Mouse feces	C57B6J
RS1F6x8wk	PTB	Mouse feces	C57B6J
RS1F5x8wk	PTB	Mouse feces	C57B6J
RS1F4x8wk	PTB	Mouse feces	C57B6J
RS1F3x8wk	PTB	Mouse feces	C57B6J
RS1F2x8wk	PTB	Mouse feces	C57B6J
RS1F1x8wk	PTB	Mouse feces	C57B6J
INUM6x8wk	INU	Mouse feces	C57B6J
INUM5x8wk	INU	Mouse feces	C57B6J
INUM4x8wk	INU	Mouse feces	C57B6J
INUM3x8wk	INU	Mouse feces	C57B6J
INUM2x8wk	INU	Mouse feces	C57B6J
INUM1x8wk	INU	Mouse feces	C57B6J
INUF8x8wk	INU	Mouse feces	C57B6J
INUF7x8wk	INU	Mouse feces	C57B6J
INUF6x8wk	INU	Mouse feces	C57B6J
INUF5x8wk	INU	Mouse feces	C57B6J
INUF4x8wk	INU	Mouse feces	C57B6J
INUF3x8wk	INU	Mouse feces	C57B6J
INUF2x8wk	INU	Mouse feces	C57B6J
INUF1x8wk	INU	Mouse feces	C57B6J
